vehicle,finish_t,total_wait_s
N2S_R-1,18,1.2759297700688546
N2S_R-2,24,1.4240703452947372
W2E_B-3,38,21.883399376664308
W2E_B-1,40,19.429652642426227
W2E_B-2,42,19.599185945354765
W2E_B-4,44,16.804152027111307
W2E_T-2,46,20.4184951169996
W2E_B-7,46,15.097209123501063
W2E_T-1,48,26.259595802636692
W2E_B-5,48,19.915798482849986
W2E_T-4,50,20.084194913194
W2E_B-8,50,9.510875816505493
W2E_T-6,52,9.54281876443956
W2E_B-6,52,15.400125667271766
W2E_T-3,54,21.90258348229871
W2E_B-9,54,5.922379073928383
W2E_T-7,56,6.981992920639804
N2S_L-1,58,34.18492533758021
W2E_B-10,58,2.236727581809724
W2E_T-5,58,13.505894526736995
W2E_T-8,60,4.892050222466793
W2E_B-11,68,1.6240551519185402
W2E_T-9,68,2.768123891820352
W2E_T-10,70,5.106430630676961
N2S_R-4,82,17.051122375639437
N2S_L-4,84,27.964747431338026
N2S_R-3,84,22.85667225614221
N2S_L-2,86,37.63491470942485
N2S_R-5,86,15.767720935589963
N2S_L-3,88,37.5088309616168
N2S_R-6,88,15.721579347390218
N2S_L-5,90,30.017950864202312
N2S_R-7,90,12.476738622517274
N2S_L-6,92,15.68519990782238
N2S_R-8,94,2.728864193831299
N2S_L-7,94,16.022273683218557
N2S_L-8,96,4.345502962177235
N2S_R-9,102,4.639921874431522
N2S_R-10,104,2.3778684356439896
N2S_R-11,108,1.8111541423687498
W2E_T-11,112,33.62211543682716
W2E_T-12,114,30.19723407855784
W2E_B-12,116,42.261827873819584
W2E_T-15,116,30.100442446250867
W2E_B-17,118,27.450187881886976
W2E_T-13,118,32.36539429868981
W2E_B-13,120,35.08263173927922
W2E_T-14,120,33.43325666063731
W2E_B-14,122,30.073637306801103
W2E_T-16,122,18.077796325455566
W2E_B-16,124,30.10311438687627
W2E_T-17,124,18.480983719785186
W2E_B-18,126,28.386122200781273
W2E_T-18,126,21.038681118698292
W2E_B-15,128,29.21015189607253
W2E_T-19,128,5.737725659820981
W2E_B-19,130,19.35960719227279
W2E_B-20,132,16.80650621301814
W2E_B-21,134,7.2244974748286666
W2E_B-22,136,5.6046746118469315
N2S_L-9,138,34.72313306202338
W2E_B-23,138,0.7360923855623867
N2S_L-10,140,23.063437894534957
W2E_B-24,142,2.1211427664307507
N2S_L-13,142,15.509037763974675
W2E_B-25,144,3.7421029428159898
N2S_L-11,144,16.6117194062997
N2S_L-14,146,17.070324586380977
N2S_L-12,148,16.231794775567423
N2S_L-16,150,3.2405473692533633
N2S_L-15,152,3.7955579433819935
N2S_R-12,156,35.26853373223
N2S_L-17,160,3.690892900796115
N2S_R-13,164,30.683587025922847
N2S_R-14,176,3.214204432650547
W2E_T-21,176,28.124342865934892
N2S_R-15,178,6.038360558941548
W2E_T-20,178,37.01867171892158
N2S_R-16,180,2.245550121203479
W2E_T-24,180,17.1336530323901
W2E_B-26,182,26.266618459647077
W2E_T-22,182,26.472588062407
W2E_B-27,184,18.29998416753881
W2E_T-23,184,20.22282746213881
W2E_B-30,186,18.352969463428565
W2E_T-25,186,21.660324727601477
W2E_B-28,188,18.096724929944628
W2E_T-27,188,20.886837823025672
W2E_B-29,190,20.10606865793025
W2E_T-28,190,19.589125235049437
W2E_B-32,192,15.841277569008923
W2E_T-26,192,20.20880294686802
W2E_B-31,194,19.25244929634036
W2E_T-29,194,5.097839610905908
W2E_B-33,196,19.308578972279975
W2E_T-30,198,1.7183036146987263
W2E_B-34,198,16.83395788667778
W2E_B-35,200,12.336747911406178
W2E_T-31,202,3.135345214258308
N2S_L-18,204,31.507963243821877
W2E_B-36,206,1.2009150104043727
N2S_L-20,210,22.963883817059212
N2S_L-22,212,12.170938894749582
N2S_L-19,214,27.113492965281665
N2S_L-21,216,20.5713620894073
N2S_L-24,218,14.766680394236147
N2S_R-17,222,39.66661812802417
N2S_L-27,222,1.825896916655779
N2S_L-23,224,12.813954299361626
N2S_R-18,226,35.27177395915996
N2S_L-26,226,4.616588287135784
N2S_L-25,228,5.5650871370479535
N2S_R-19,230,36.17530411386139
N2S_R-20,232,36.621530178112664
N2S_R-21,234,37.893318328654885
N2S_R-22,240,3.038066641900542
N2S_R-23,242,4.086525948025837
N2S_R-24,246,0.4496458663530234
N2S_L-29,248,16.18314687159355
N2S_R-25,250,2.824664349513455
N2S_L-31,250,15.07081371342781
W2E_B-37,252,41.23040435568055
N2S_L-30,252,14.556719401984765
W2E_B-38,254,44.38505707741649
N2S_L-33,254,14.891137010444226
W2E_T-33,256,21.139424565241
W2E_B-40,256,29.00690893768939
N2S_L-28,256,17.70629716644052
W2E_T-32,258,42.4545871016727
W2E_B-39,258,31.658036846093296
N2S_L-32,258,17.26663853345468
W2E_T-35,260,7.662402695024582
W2E_B-43,260,15.733137439192603
W2E_T-34,262,19.774113918018315
W2E_B-41,262,18.896195977598012
W2E_T-36,264,8.321749224131707
W2E_B-44,264,15.338634513835274
W2E_B-42,266,21.924177562025108
W2E_T-38,268,1.8044603085944573
W2E_T-37,270,5.225824379586101
W2E_B-46,274,15.155069806353282
W2E_T-40,278,2.1587894973263246
W2E_B-45,278,16.110545098313565
W2E_T-39,280,3.2675423927946667
W2E_B-49,280,14.144741999501207
W2E_B-47,282,16.004777491035554
W2E_B-48,284,15.839847806557145
W2E_B-50,286,12.728677612744491
W2E_B-51,288,13.72904885773761
W2E_B-52,290,3.4644171519548195
N2S_R-26,292,36.53441856416919
N2S_R-27,294,33.92524809123296
N2S_R-28,300,31.592363729850376
N2S_L-34,302,34.502639337944515
N2S_R-29,302,17.645622393162682
N2S_L-36,304,29.158515638047675
N2S_R-31,304,9.863752624057895
N2S_L-35,306,25.977567546642035
N2S_R-30,306,14.679717389653149
N2S_L-37,308,14.668720509396223
N2S_R-33,308,1.0419841101232805
N2S_L-38,310,8.061853132239378
N2S_R-32,312,11.482050903901666
N2S_R-36,326,3.1211253130031196
N2S_R-34,328,3.6470701725883146
W2E_T-41,330,47.2678195442511
W2E_B-53,332,42.337387662238484
W2E_T-42,332,37.93894540426061
W2E_B-55,334,30.721869702813024
W2E_T-43,334,39.1429400733644
W2E_B-54,336,32.62047571659588
W2E_T-44,336,33.376507890289645
W2E_B-56,338,27.709694626871396
W2E_T-46,338,13.597531797293072
W2E_B-57,340,30.907182932873866
W2E_T-45,340,21.733651679326044
W2E_B-59,342,18.505706878331353
W2E_B-58,344,19.802667277716523
W2E_B-61,346,4.973659027442409
W2E_B-60,348,11.080740250095516
W2E_T-47,350,2.847189076798827
W2E_B-62,356,2.694190249269468
N2S_L-40,364,13.25226520743206
W2E_B-63,366,2.688196828217656
N2S_L-39,366,29.19524225149945
N2S_R-35,368,37.13170506807677
N2S_L-42,368,14.266324203967429
N2S_R-37,370,38.09065465624252
N2S_L-41,370,12.565988900970012
N2S_R-38,372,33.69572390567106
N2S_L-43,372,11.267659168555383
N2S_R-39,374,26.567721589621556
N2S_R-41,376,20.995616985987965
N2S_R-42,378,18.404239139687206
N2S_R-40,380,18.196812958931048
N2S_R-43,382,9.425741861773304
N2S_L-44,384,3.1438677007124056
W2E_T-49,394,15.646385797943083
W2E_T-52,396,14.529260489267529
W2E_T-48,398,27.715721619559815
W2E_T-54,400,15.120474728547208
N2S_R-44,402,2.2785858046391354
W2E_T-51,402,18.641804575866786
W2E_T-50,404,18.413036642914562
W2E_T-53,406,16.867138451615403
W2E_B-64,408,44.23493840196198
W2E_T-55,408,20.274483980067203
W2E_T-59,410,17.8468233616137
W2E_T-58,412,20.17616249944342
W2E_B-66,414,32.97841589513246
W2E_T-56,414,21.24532091682744
W2E_B-65,416,36.48701826021312
W2E_T-57,416,21.11161211914458
W2E_T-61,424,1.5215128359357664
W2E_B-67,426,2.4928265514135433
W2E_B-68,430,1.2845435197742177
N2S_L-45,436,44.82732490507658
N2S_L-46,438,34.86473201214994
N2S_L-47,440,31.59405841565183
N2S_L-49,442,12.849806757190606
W2E_B-69,444,1.6428814681930817
N2S_L-48,444,22.375752958351256
N2S_R-45,446,39.4139963178751
N2S_L-50,446,4.218091534074006
N2S_R-48,448,18.553767191933105
N2S_R-46,450,38.66898641678398
N2S_R-50,452,20.012482289303364
N2S_R-47,454,26.44135528243686
N2S_R-51,456,12.849549581703343
W2E_T-60,458,34.42170440503287
N2S_R-49,458,19.25247099709111
W2E_T-63,460,25.142027452459104
W2E_T-62,462,31.889123182998276
W2E_B-70,464,23.0555277043253
W2E_T-68,464,18.278043766760334
W2E_B-71,466,21.10142432514209
W2E_T-64,466,21.981225046852956
W2E_B-72,468,15.894075312189898
W2E_T-66,468,23.71015308373569
W2E_B-73,470,18.83894473185967
W2E_T-65,470,27.190392933252554
W2E_B-74,472,19.504374421419868
W2E_T-69,472,17.102777457246304
W2E_B-76,474,19.811864059878758
W2E_T-71,474,17.564832652433665
W2E_B-77,476,15.90830853297831
W2E_T-67,476,22.399755234352085
W2E_B-75,478,19.561423185445165
W2E_T-70,478,22.94186561685399
W2E_B-81,480,13.282267737330358
W2E_T-74,480,9.733355473923496
W2E_B-79,482,15.339555409672982
W2E_T-73,482,7.784996828519695
W2E_B-78,484,15.489522674893863
W2E_T-72,484,10.16203807471112
W2E_B-80,486,10.850495034448613
W2E_T-75,486,3.345617502026357
N2S_L-51,488,32.06380362291708
N2S_L-52,494,31.605113961736265
W2E_B-82,496,2.2119072605499923
N2S_L-54,496,14.178893353169485
N2S_L-53,498,18.12142896707479
N2S_L-55,500,13.449261849191771
N2S_R-53,510,15.256796648071997
N2S_R-52,512,39.835904936906616
N2S_L-56,514,2.0017669306331527
N2S_L-57,518,0.443890632138789
N2S_R-54,520,3.1537665451677412
N2S_L-58,520,0.2868539295993173
N2S_R-55,524,1.8816918306783919
N2S_R-56,528,0.4409711764600388
W2E_T-76,538,45.709596372245244
W2E_T-77,540,40.262536912678684
